UTC time	2708_pm1	2708_pm25	2708_pm10	2708_temperature	2708_humidity	2708_pressure
2018-03-14T04:00:00Z	15.786667	24.965333	39.426667	6.713889	92.170365	100450.431800
2018-03-14T05:00:00Z	17.306667	27.690667	45.160000	5.658333	94.642427	100507.876244
2018-03-14T06:00:00Z	14.373333	24.869333	39.006667	5.075000	94.747991	100574.876244
2018-03-14T07:00:00Z	15.472000	25.306667	40.613333	4.236111	97.554147	100670.987356
2018-03-14T08:00:00Z	20.202667	33.664000	52.586667	4.227778	94.176925	100756.654022
2018-03-14T09:00:00Z	17.824000	28.789333	45.280000	4.355556	94.121133	100829.098467
2018-03-14T10:00:00Z	19.653333	32.613333	53.040000	4.844444	90.162608	100886.431800
2018-03-14T11:00:00Z	21.744000	36.341333	56.326667	5.177778	86.644881	100926.098467
2018-03-14T12:00:00Z	20.197333	34.640000	55.760000	5.277778	84.224574	100957.654022
2018-03-14T13:00:00Z	16.272000	26.646000	42.975000	5.456250	86.597647	100985.779022
2018-03-14T14:00:00Z	16.128000	25.594667	40.900000	5.450000	84.375137	101020.542911
2018-03-14T15:00:00Z	21.110400	35.054400	55.428000	5.322500	82.166331	101047.854022
2018-03-14T16:00:00Z	19.530000	31.224000	49.417500	5.231250	81.962818	101077.654022
2018-03-14T17:00:00Z	21.722667	36.821333	57.973333	4.475000	93.403055	101137.765133
2018-03-14T18:00:00Z	16.192000	26.064000	42.046667	3.486111	93.842817	101205.765133
2018-03-14T19:00:00Z	17.050667	26.506667	42.406667	3.427778	92.877216	101244.876244
2018-03-14T20:00:00Z	14.556000	23.562000	36.975000	3.265625	94.033186	101277.029022
2018-03-14T21:00:00Z	15.824000	24.768000	37.740000	2.794444	90.470301	101294.098467
2018-03-14T22:00:00Z	14.762667	22.725333	34.153333	2.150000	85.191428	101298.876244
2018-03-14T23:00:00Z	15.338667	24.160000	37.093333	2.183333	84.904749	101303.654022
2018-03-15T00:00:00Z	16.848000	26.630400	39.954000	2.172500	82.314972	101320.954022
2018-03-15T01:00:00Z	8.508000	14.016000	19.912500	1.368750	93.106606	101351.029022
2018-03-15T02:00:00Z	8.474667	13.786667	19.860000	1.263889	92.318859	101332.098467
2018-03-15T03:00:00Z	7.882667	12.549333	17.886667	1.191667	91.679500	101315.876244
2018-03-15T04:00:00Z	8.916000	13.860000	20.385000	1.103125	91.276738	101329.779022
2018-03-15T05:00:00Z	10.970667	17.893333	27.080000	1.227778	91.181851	101357.765133
2018-03-15T06:00:00Z	14.266667	22.160000	33.713333	1.269444	90.658869	101384.209578
